Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0,"people, delete, year, account, friend, time, back, message, deletefacebook, call",14536,0.1301
1,"trump, leave, vote, campaign, election, amp, lie, government, democracy, tory",10827,0.0969
2,"datum, privacy, user, personal, information, law, access, app, give, sell",10994,0.0984
3,"datum, big, business, service, security, problem, model, build, customer, online",7871,0.0704
4,"facebook, page, follow, find, twitter, post, share, live, check, video",9671,0.0865
5,"question, today, watch, time, talk, week, answer, open, hear, day",10541,0.0943
6,"bigdata, late, ai, analytic, machinelearne, technology, marketing, tech, datascience, learn",13670,0.1223
7,"facebook, scandal, company, change, make, data, tool, public, world, profile",7833,0.0701
8,"work, ad, story, pay, report, target, show, run, party, political",8740,0.0782
9,"social, medium, news, thing, people, platform, stop, give, internet, bad",8476,0.0759
10,"good, read, make, great, interesting, real, article, happen, lot, point",8586,0.0768
